Title,Abstract,Budget,Research_Impact,References,Institution,Applicant_Experience,Funded
Front-line 3rdgeneration migration,Near Congress sometimes on school provide. Well debate seven none better join. Difficult approach draw land certainly. Whatever news fall style exist sister. Throughout example fall.,77337,9,38,Harvard,18,1
Phased systemic strategy,From over capital try. Begin less night lawyer choose. Whom style key by director hard common.,51238,9,24,University of Tokyo,14,1
Cross-platform executive instruction set,Smile who need. Design recent able environment. Low college inside through there respond. Law event court last real. Book nature TV tell real smile development.,108563,7,7,Oxford,22,1
Horizontal tangible firmware,Professor system left long entire. Keep vote choose business star less develop. However fight institution address. Record you ball recently structure above. Police personal clear big.,119033,4,1,Caltech,1,0
Operative asymmetric paradigm,Professor camera late white last. Society far measure tonight. Beat summer his down knowledge arm family.,155627,3,32,Stanford,27,1
Integrated local ability,Reach light kid letter. Admit organization step person poor would. Use face need then.,86311,5,39,Oxford,16,1
Innovative grid-enabled protocol,Close property take business occur hour prevent present. Perform big lot student. Who job seven keep benefit something east. Particular apply cold hand there during. Already suddenly group protect past.,67794,10,7,UC Berkeley,27,1
Visionary holistic complexity,Than mission seek but marriage receive network have. Office social hear modern just speak back play. Different central dream minute. Several appear continue. Lot plan item stuff.,29142,10,36,University of Tokyo,16,1
De-engineered optimal capacity,News list interesting force power. Some stock world story over. Morning discussion system fine after moment network oil. Budget before rate out color man.,82482,7,3,Caltech,19,1
Integrated multimedia support,Quite detail available those again without her exist. Party seven tree allow involve health front. College sea society.,31336,6,46,Cambridge,16,1
Universal encompassing adapter,Sure here teach become ready computer manage. Probably step every. Give wife husband effort whose. Assume their design science space.,26818,4,30,Harvard,15,0
Advanced upward-trending core,Offer weight the recognize home middle. Listen beautiful onto sometimes term none or recognize. Born relate which system development decision. Their town see officer school.,107533,5,21,University of Tokyo,13,1
Versatile impactful installation,Increase early season report resource. Often mission commercial bring skill customer moment tend. High risk interesting move. Since method true others plan rate. Special nation inside player approach.,66293,4,43,Stanford,22,1
Advanced intangible Graphic Interface,Accept before piece over. Various understand write loss. Relate both want improve ever. Candidate skill parent find work exactly. Still hundred side parent way yard professional. Society majority employee.,12523,10,21,Caltech,5,0
Face-to-face web-enabled projection,Technology way admit. Need civil black when may those little. Argue role behavior issue. Always she whole trade possible month southern. Visit day keep others democratic. Start certain focus reveal protect push.,22491,5,20,Caltech,30,1
Cloned radical support,Share imagine case through than weight. Task year room. Local standard later anyone. Ball stand best himself. Hair again order. Represent report born yard song blood compare.,63687,2,45,Oxford,17,0
Digitized fault-tolerant moratorium,So education town address significant yeah. Year find expert heavy issue base. West to glass area policy.,65878,1,37,Harvard,12,1
Centralized clear-thinking emulation,Foreign effort tax attention quickly measure history over. Parent growth dream human wear information project. Group million also worker kid ready from.,33506,7,48,Harvard,20,0
Synergized 24hour focus group,Sort senior leave because child smile perhaps election. Husband admit mouth break happy. Young soldier ask memory. Magazine choose throw loss smile image bank. Third environment let feeling magazine religious happy. Organization phone project must draw once while.,154948,7,41,MIT,21,0
Seamless disintermediate structure,Seven physical of type Congress measure edge. Less especially generation side. Senior suffer husband fund. Tonight knowledge marriage school I difference eat.,51757,9,23,Cambridge,6,1
Polarized multi-state contingency,Send yes there four hour. Before civil another story represent. Free represent nor according book off increase. Management memory market camera say none image there.,166835,6,10,Stanford,0,0
Synergized bifurcated structure,Agent son determine federal try strategy interesting very. Parent may every agreement building human add too. Successful very view hope sense resource. Change take reflect why hand. City dinner decade customer other.,45451,7,17,Cambridge,17,1
Adaptive maximized contingency,Teacher who pretty until energy. Drug party happen ok else culture. Lose key worry follow condition. View defense economy paper order grow.,175138,4,43,ETH Zurich,3,1
Streamlined multi-tasking model,Southern share all culture want from sense. Tree ground situation society meeting company. Fire organization human west. Himself boy case see far.,103739,6,37,UC Berkeley,27,1
Organized intermediate budgetary management,Especially west how. Fill whose break capital. Fact family stop issue impact grow finish. Network partner lawyer hit different process. Study plant nothing president dark bar foreign.,152717,4,15,Caltech,27,0
Object-based secondary knowledgebase,Cultural often together would body black wife. Top and follow night eight foreign sure throughout. Like accept peace sing. Any fight message later property again community hundred.,154004,1,20,UC Berkeley,2,0
